id,year,title,p_painted,painted
300665,2017,Leatherface,0.075,0
738542,2020,The Haunting of Margam Castle,0.5285,1
199534,2013,Wolf Creek 2,0.2902,0
762504,2022,Nope,0.0166,0
316154,2017,The Bad Batch,0.2281,0
11460,2005,Red Eye,0.0079,0
516632,2020,The Empty Man,0.1253,0
11815,1958,The Fly,0.736,1
836225,2022,The Exorcism of God,0.2736,0
753453,2021,V/H/S/94,0.0193,0
760161,2022,Orphan: First Kill,0.1315,0
40466,2000,Crocodile,0.0501,0
25853,2002,Dahmer,0.0515,0
133805,2013,Carrie,0.1692,0
10131,1988,A Nightmare on Elm Street 4: The Dream Master,0.6536,1
19898,2009,Pandorum,0.015,0
4234,2000,Scream 3,0.0114,0
11531,2000,Book of Shadows: Blair Witch 2,0.0879,0
1946,1999,eXistenZ,0.0202,0
282035,2017,The Mummy,0.0434,0
84348,2012,V/H/S,0.0602,0
570670,2020,The Invisible Man,0.0342,0
412546,2018,Antrum,0.7718,1
126172,2014,Leprechaun: Origins,0.0977,0
34480,2009,The Descent: Part 2,0.1121,0
161326,2008,Dangerous Worry Dolls,0.2406,0
18405,2009,The Last House on the Left,0.2191,0
34081,2002,Ted Bundy,0.0951,0
287424,2015,Maggie,0.0076,0
25748,1992,Children of the Corn II: The Final Sacrifice,0.5674,1
10012,2005,Cursed,0.0675,0
348,1979,Alien,0.1674,0
591274,2021,Fear Street: 1978,0.3352,0
420707,2017,Cage Dive,0.1208,0
59115,2011,Quarantine 2: Terminal,0.0415,0
763149,2021,Aftermath,0.0172,0
10552,1985,Cat's Eye,0.227,0
340601,2018,Delirium,0.0766,0
291167,2014,Crystal Skulls,0.1049,0
10127,1988,Critters 2,0.5237,1
509635,2020,Alone,0.0088,0
998340,2016,Smile,0.0873,0
528091,2019,The Furies,0.1466,0
346364,2017,It,0.1626,0
124470,2014,Exists,0.1745,0
9042,2005,The Cave,0.1611,0
528985,2019,Assimilate,0.0164,0
659986,2020,The Owners,0.0284,0
36685,1975,The Rocky Horror Picture Show,0.541,1
13207,2009,Friday the 13th,0.3597,0
13515,2008,Mirrors,0.0455,0
442249,2018,The First Purge,0.0226,0
57876,2015,Area 51,0.0038,0
12142,2005,Alone in the Dark,0.0235,0
996727,2022,The Price We Pay,0.0443,0
628,1994,Interview with the Vampire,0.0487,0
610394,2019,The Haunting of La Llorona,0.4613,0
429417,2018,Ghost Stories,0.0974,0
793002,2021,Dreamcatcher,0.237,0
132137,2012,Werewolf: The Beast Among Us,0.4992,0
565028,2021,Candyman,0.1028,0
49017,2014,Dracula Untold,0.2249,0
9616,2003,The Order,0.0272,0
50719,1987,"Silent Night, Deadly Night Part 2",0.4488,0
787752,2022,Fresh,0.0432,0
295011,2018,Patient Zero,0.0775,0
12590,2002,Below,0.0254,0
244566,2014,Life After Beth,0.0164,0
864873,2021,Hypnotic,0.0376,0
22894,2010,Legion,0.199,0
10576,1983,Psycho II,0.1574,0
397243,2016,The Autopsy of Jane Doe,0.014,0
401561,2018,Mom and Dad,0.2199,0
11377,1999,House on Haunted Hill,0.0987,0
591273,2021,Fear Street: 1994,0.361,0
44037,2010,Lake Placid 3,0.2153,0
649524,2019,Behind the Trees,0.0242,0
411805,2016,Walking Dead In The West,0.3359,0
652004,2020,The Wolf of Snow Hollow,0.5202,1
480105,2019,47 Meters Down: Uncaged,0.1617,0
37707,2009,Splice,0.0551,0
6933,2008,One Missed Call,0.0258,0
672582,2021,The Deep House,0.2656,0
312831,2015,The Hallow,0.3972,0
6488,1990,Arachnophobia,0.3248,0
447332,2018,A Quiet Place,0.0471,0
611489,2020,Initiation,0.2436,0
549294,2020,Synchronic,0.0224,0
38358,2010,The Last Exorcism,0.2658,0
256274,2014,"As Above, So Below",0.1228,0
11547,2003,Cabin Fever,0.1879,0
460019,2018,Truth or Dare,0.1492,0
13885,2007,Sweeney Todd: The Demon Barber of Fleet Street,0.0615,0
393345,2017,Cult of Chucky,0.1347,0
28635,2001,Wishmaster 3: Beyond the Gates of Hell,0.7594,1
10304,2004,Starship Troopers 2: Hero of the Federation,0.4481,0
763,1992,Braindead,0.7866,1
11428,1992,Sleepwalkers,0.8457,1
647302,2019,Benny Loves You,0.1709,0
768,2001,From Hell,0.0438,0
12110,1995,Dracula: Dead and Loving It,0.4268,0
791,2005,The Fog,0.1109,0
614205,2019,Dark Light,0.2809,0
9030,2008,The Eye,0.0155,0
49950,2011,The Roommate,0.0078,0
539537,2020,Fantasy Island,0.1314,0
630586,2021,Wrong Turn,0.1536,0
58151,2011,Fright Night,0.0359,0
516329,2021,Antlers,0.1637,0
532814,2018,The Bad Seed,0.0753,0
442062,2018,Goosebumps 2: Haunted Halloween,0.8343,1
561,2005,Constantine,0.0981,0
75735,2011,Zombie Apocalypse,0.0987,0
871875,2021,Escape the Undertaker,0.0885,0
10344,1989,The Fly II,0.0447,0
19908,2009,Zombieland,0.1706,0
755,1996,From Dusk Till Dawn,0.0696,0
504175,2005,Chucky's Vacation Slides,0.0269,0
632304,2020,The Beach House,0.039,0
10072,1987,A Nightmare on Elm Street 3: Dream Warriors,0.8,1
242512,2014,Ouija,0.062,0
523139,2019,In the Tall Grass,0.0089,0
82507,2012,Sinister,0.393,0
460885,2018,Mandy,0.2361,0
356486,2015,Lumberjack Man,0.4075,0
761563,2021,Medusa: Queen of the Serpents,0.2792,0
1029132,2022,The Folks,0.0078,0
11850,1978,Invasion of the Body Snatchers,0.3066,0
420245,2017,Don't Knock Twice,0.1195,0
670429,2021,Witch Hunt,0.1092,0
527261,2019,The Silence,0.0149,0
289712,2014,Mockingbird,0.2672,0
469916,2018,Downrange,0.2631,0
4961,1997,Mimic,0.0112,0
273477,2015,Scouts Guide to the Zombie Apocalypse,0.896,1
582913,2019,The Room,0.0057,0
23437,2010,A Nightmare on Elm Street,0.2474,0
591275,2021,Fear Street: 1666,0.11,0
10823,1984,Children of the Corn,0.6262,1
643586,2021,Willy's Wonderland,0.5086,1
1813,1997,The Devil's Advocate,0.1311,0
512025,2021,There's Someone Inside Your House,0.2146,0
8643,2005,The Exorcism of Emily Rose,0.0669,0
756278,2020,Haunting of the Mary Celeste,0.81,1
575774,2020,His House,0.7514,1
263472,2015,Knock Knock,0.0064,0
19912,2009,The Final Destination,0.111,0
405882,2016,Don't Kill It,0.1337,0
440021,2017,Happy Death Day,0.2677,0
252190,2014,American Weapon,0.3829,0
19288,2003,Leprechaun: Back 2 tha Hood,0.1995,0
501170,2019,Doctor Sleep,0.1859,0
93856,2012,Chernobyl Diaries,0.0179,0
345911,2016,Lights Out,0.1848,0
300668,2018,Annihilation,0.1334,0
588,2006,Silent Hill,0.1343,0
443791,2020,Underwater,0.1501,0
467632,2018,Bad Samaritan,0.1205,0
3603,2007,Black Sheep,0.1311,0
4283,2007,Primeval,0.1885,0
901385,2022,Significant Other,0.0877,0
630766,2020,A Night of Horror: Nightmare Radio,0.9191,1
792657,2021,Safer at Home,0.022,0
16281,1982,Creepshow,0.4806,0
72571,2011,Paranormal Activity 3,0.0321,0
76617,2013,Texas Chainsaw 3D,0.1087,0
675327,2020,Shadow in the Cloud,0.3629,0
10489,1983,Cujo,0.7419,1
839678,2022,Unhuman,0.536,1
439015,2018,Slender Man,0.0752,0
736509,2020,Intersect,0.0576,0
347754,2015,Curve,0.0896,0
11773,1960,Village of the Damned,0.684,1
522681,2019,Escape Room,0.0101,0
346651,2016,Pandemic,0.0052,0
854535,2021,The Legacy of Chucky,0.1446,0
9286,2006,Final Destination 3,0.0842,0
439079,2018,The Nun,0.0619,0
52520,2012,Underworld: Awakening,0.0833,0
512936,2018,4/20 Massacre,0.0514,0
259693,2016,The Conjuring 2,0.0243,0
347849,2015,Zombie Shark,0.462,0
715658,2020,The Scientist,0.0508,0
9360,1997,Anaconda,0.002,0
341006,2016,The Belko Experiment,0.0429,0
10294,2007,Vacancy,0.2033,0
23823,2009,Wrong Turn 3: Left for Dead,0.2232,0
446101,2018,Assassination Nation,0.0385,0
91586,2013,Insidious: Chapter 2,0.2745,0
128748,1999,Curse of the Blair Witch,0.3957,0
9392,2005,The Descent,0.1471,0
2655,2000,What Lies Beneath,0.0053,0
517116,2019,Haunt,0.6895,1
372343,2017,The Snowman,0.053,0
846778,2022,Margaux,0.003,0
159211,2013,The Haunting of Helena,0.6546,1
419430,2017,Get Out,0.0205,0
10578,2003,Dracula II: Ascension,0.2465,0
780766,2020,The John Wayne Gacy Murders: life and death in Chicago,0.8561,1
524216,2020,The Mortuary Collection,0.193,0
425931,2017,The Black Room,0.3497,0
522444,2020,Black Water: Abyss,0.3954,0
664356,2020,The Cannibal Killer: The Real Story of Jeffrey Dahmer,0.2031,0
15301,1983,Twilight Zone: The Movie,0.0588,0
767504,2021,Black as Night,0.2111,0
631843,2021,Old,0.0256,0
310131,2015,The Witch,0.267,0
682810,2020,SCP-096,0.077,0
13474,2007,P2,0.0233,0
520763,2021,A Quiet Place Part II,0.0855,0
375355,2016,Don't Hang Up,0.0145,0
489939,2018,Daphne & Velma,0.3685,0
424139,2018,Halloween,0.1445,0
23202,2007,Trick 'r Treat,0.2715,0
10008,2005,An American Haunting,0.0297,0
766,1992,Army of Darkness,0.8547,1
938596,2022,Bull Shark,0.7421,1
590995,2020,The Craft: Legacy,0.0041,0
418078,2017,It Comes at Night,0.0902,0
587496,2020,The Rental,0.0336,0
870671,2022,The Hunting,0.4845,0
7342,2002,Carrie,0.2913,0
531309,2019,Brightburn,0.1872,0
11495,1984,Firestarter,0.0302,0
146203,2013,The Last Exorcism Part II,0.145,0
740925,2021,No One Gets Out Alive,0.0204,0
24126,1993,Warlock: The Armageddon,0.0831,0
184346,2014,Deliver Us from Evil,0.1432,0
829358,2021,Queen of Spades,0.4207,0
159638,2013,Ghost Team One,0.0128,0
571384,2020,Come Play,0.0446,0
897424,2022,Dark Cloud,0.0564,0
27740,1987,A Return to Salem's Lot,0.0906,0
2637,2002,The Mothman Prophecies,0.2776,0
806,2006,The Omen,0.0309,0
458723,2019,Us,0.014,0
296626,2014,Finders Keepers,0.054,0
830788,2022,The Invitation,0.5049,1
18476,2009,Horsemen,0.0133,0
241258,2016,Incarnate,0.0252,0
364116,2016,The Other Side of the Door,0.0056,0
11351,2003,Jeepers Creepers 2,0.4367,0
257445,2015,Goosebumps,0.6444,1
535581,2019,The Dead Don't Die,0.2103,0
10605,2002,Vampires: Los Muertos,0.1375,0
138843,2013,The Conjuring,0.0306,0
394830,2017,The Crucifixion,0.1054,0
25155,1987,The Stepfather,0.004,0
396493,2017,Creep 2,0.0287,0
539,1960,Psycho,0.11,0
820511,2021,Ripper Untold,0.4683,0
203835,2017,Amityville: The Awakening,0.0294,0
631322,2019,Silhouette,0.0136,0
126889,2017,Alien: Covenant,0.0748,0
708336,2020,Return of the Tooth Fairy,0.5341,1
8922,2001,Jeepers Creepers,0.0402,0
170,2002,28 Days Later,0.1766,0
450932,2017,Armed Response,0.0245,0
60935,2011,The Thing,0.153,0
50698,2011,Grave Encounters,0.1219,0
355506,2016,Siren,0.0261,0
14564,2017,Rings,0.0197,0
523638,2021,Prisoners of the Ghostland,0.6297,1
602223,2021,The Forever Purge,0.1215,0
313922,2015,Green Room,0.3944,0
13059,2008,The Signal,0.021,0
18781,2009,The Haunting in Connecticut,0.2698,0
157544,2015,The Vatican Tapes,0.0521,0
1576,2002,Resident Evil,0.0766,0
814800,2022,Goodnight Mommy,0.0757,0
622,1999,The Ninth Gate,0.0842,0
36419,2009,After.Life,0.0609,0
794960,2021,Blood Moon,0.2681,0
632357,2021,The Unholy,0.3415,0
284564,2016,31,0.2052,0
109428,2013,Evil Dead,0.2539,0
465086,2020,The Grudge,0.1815,0
697799,2022,WarHunt,0.0983,0
362105,2015,R.L. Stine's Monsterville: The Cabinet of Souls,0.0507,0
294963,2015,Bone Tomahawk,0.09,0
371608,2018,The Strangers: Prey at Night,0.1653,0
10336,1997,Spawn,0.1671,0
119278,2012,Smiley,0.1198,0
741613,2020,The Boy Behind The Door,0.0298,0
514277,2018,Mara,0.1284,0
270303,2014,It Follows,0.1191,0
46441,2010,Mirrors 2,0.1043,0
272692,2014,The Possession of Michael King,0.0342,0
823491,2022,The Origin,0.0093,0
29427,2010,The Crazies,0.2344,0
852485,2022,She Will,0.1053,0
560362,2019,Rattlesnake,0.6907,1
9871,2000,Ginger Snaps,0.022,0
546121,2020,Run,0.068,0
474350,2019,It Chapter Two,0.0498,0
23988,2009,Stan Helsing,0.1505,0
429467,2017,The Lodgers,0.0287,0
514593,2020,You Should Have Left,0.0051,0
471506,2018,Greta,0.0338,0
297608,2014,The Taking of Deborah Logan,0.1793,0
7131,2004,Van Helsing,0.1027,0
436274,2017,Radius,0.0074,0
84226,2011,The Day,0.0099,0
159117,2013,V/H/S/2,0.2479,0
375366,2016,The Girl with All the Gifts,0.0931,0
231001,2013,All Hallows' Eve,0.0593,0
27414,1984,"Silent Night, Deadly Night",0.2935,0
46838,2010,Tucker and Dale vs. Evil,0.2035,0
748224,2020,Reaptown,0.0384,0
423108,2021,The Conjuring: The Devil Made Me Do It,0.0241,0
155084,2014,13 Sins,0.0551,0
10727,2003,Darkness Falls,0.0506,0
55341,2017,Jeepers Creepers 3,0.2934,0
104755,2012,The Lords of Salem,0.1414,0
1690,2005,Hostel,0.0408,0
10493,1989,Dead Calm,0.571,1
803114,2022,The Requin,0.3776,0
36586,2002,Blade II,0.0539,0
229839,2013,Grave Halloween,0.2579,0
780609,2022,Men,0.0064,0
816977,2022,They/Them,0.1081,0
5680,1988,"Elvira, Mistress of the Dark",0.1374,0
833425,2022,No Exit,0.0223,0
715123,2020,Books of Blood,0.6486,1
440597,2017,Wish Upon,0.1057,0
400710,2017,Flatliners,0.0085,0
86825,2013,Stoker,0.0558,0
593655,2020,Castle Freak,0.6158,1
627290,2020,Antebellum,0.0712,0
46261,2010,Don't Be Afraid of the Dark,0.5532,1
825808,2022,See for Me,0.0097,0
578,1975,Jaws,0.4274,0
14435,2009,My Bloody Valentine,0.0301,0
732472,2020,The Amityville Harvest,0.1937,0
21208,2009,Orphan,0.0395,0
84228,2011,Julia X,0.2223,0
698320,2021,The Mad Hatter,0.1738,0
11979,2002,Queen of the Damned,0.2921,0
459202,2017,Boo 2! A Madea Halloween,0.043,0
18009,1994,Leprechaun 2,0.2091,0
10306,1988,Poltergeist III,0.0352,0
703745,2020,Deep Blue Sea 3,0.319,0
16304,2006,Creepshow 3,0.5963,1
571055,2019,Down,0.5094,1
299245,2015,The Gallows,0.1557,0
838484,2022,Choose or Die,0.0242,0
674025,2020,Aztech,0.0297,0
796428,2021,Madres,0.1601,0
566949,2018,Pooka!,0.5885,1
9378,2001,Thir13en Ghosts,0.6075,1
707131,2019,Polaroid,0.0225,0
10065,2005,The Amityville Horror,0.0609,0
615017,2019,47 Hours to Live,0.0515,0
645856,2021,The Seventh Day,0.0124,0
428399,2017,Cold Skin,0.2515,0
257874,2013,Beneath,0.1049,0
384798,2016,Kill Command,0.238,0
9362,1990,Tremors,0.4741,0
599975,2019,Countdown,0.0123,0
55779,2011,Final Destination 5,0.0408,0
751237,2022,Umma,0.1127,0
60304,2013,Hansel & Gretel: Witch Hunters,0.3851,0
157433,2019,Pet Sematary,0.2297,0
607383,2019,Aquaslash,0.1592,0
11586,1977,Exorcist II: The Heretic,0.0254,0
82654,2013,Warm Bodies,0.0861,0
636879,2020,A Nun's Curse,0.3617,0
551804,2020,Freaky,0.0517,0
786300,2021,Tentacles,0.0205,0
754934,2021,Son,0.0732,0
16337,1986,The Texas Chainsaw Massacre 2,0.0585,0
533642,2019,Child's Play,0.2637,0
167032,2013,Curse of Chucky,0.532,1
9532,2000,Final Destination,0.0683,0
301804,2016,Before I Wake,0.4223,0
280892,2013,Bunks,0.3719,0
765,1987,Evil Dead II,0.2402,0
381288,2016,Split,0.0351,0
595149,2020,Death of Me,0.0252,0
599281,2021,Fear of Rain,0.0258,0
619778,2021,Malignant,0.6657,1
521029,2019,Annabelle Comes Home,0.366,0
573560,2019,The Car: Road to Revenge,0.1747,0
5876,2007,The Mist,0.0131,0
514847,2020,The Hunt,0.092,0
438799,2018,Overlord,0.2039,0
15212,2007,Species: The Awakening,0.0243,0
17918,1982,Swamp Thing,0.9382,1
228973,2014,Backcountry,0.1833,0
10069,2006,Stay Alive,0.0142,0
338676,2015,Extinction,0.0543,0
10891,2004,Tremors 4: The Legend Begins,0.2254,0
406994,2017,Better Watch Out,0.2585,0
11082,1988,The Seventh Sign,0.0132,0
165864,2013,Hansel and Gretel Get Baked,0.1339,0
512196,2019,Happy Death Day 2U,0.046,0
76487,2012,The Devil Inside,0.0139,0
85133,2011,Zombie Apocalypse: Redemption,0.0279,0
10185,2008,The Midnight Meat Train,0.2768,0
12212,2000,Urban Legends: Final Cut,0.0274,0
145135,2013,Dark Skies,0.019,0
434555,2018,The Possession of Hannah Grace,0.0444,0
335866,2015,Circle,0.0933,0
287084,2014,The Town that Dreaded Sundown,0.1463,0
20441,2009,Messengers 2: The Scarecrow,0.3838,0
12702,1991,Critters 3,0.5718,1
12707,1977,Orca,0.8302,1
675490,2020,The Unfamiliar,0.0204,0
426814,2018,The Domestics,0.0196,0
532671,2019,The Prodigy,0.0051,0
718022,2020,Heks,0.0586,0
515454,2020,Come True,0.0761,0
41704,2001,Serial Killers: The Real Life Hannibal Lecters,0.1421,0
11096,2005,Hide and Seek,0.0094,0
38410,2007,The Poughkeepsie Tapes,0.0135,0
218784,2015,Freaks of Nature,0.5963,1
932868,2022,The Joke,0.0015,0
403964,2016,ClownTown,0.1536,0
16780,1995,The Return of the Texas Chainsaw Massacre,0.069,0
99942,2009,Porn Star Zombies,0.0082,0
716258,2020,Black Box,0.0112,0
425972,2017,Cargo,0.0796,0
45657,2010,The Ward,0.1535,0
4970,2003,Gothika,0.2736,0
617505,2020,Hubie Halloween,0.2322,0
27769,1991,Sometimes They Come Back,0.5379,1
467615,2017,The Curse of Buckout Road,0.1631,0
411143,2018,Tau,0.0593,0
513421,2019,Discarnate,0.089,0
8914,1999,Deep Blue Sea,0.1161,0
57789,1993,"Double, Double, Toil and Trouble",0.5175,1
408149,2016,Isle of the Dead,0.068,0
492336,2018,Deep Blue Sea 2,0.4527,0
463602,2017,Slumber,0.2019,0
17898,1985,Silver Bullet,0.4474,0
672761,2020,The Candy Witch,0.4512,0
290637,2015,Pay the Ghost,0.0796,0
520466,2018,Lake Placid: Legacy,0.0387,0
168098,2016,Cell,0.0338,0
71670,2011,Hostel: Part III,0.0681,0
115084,2012,Piranhaconda,0.2929,0
653615,2020,Amulet,0.3573,0
329440,2016,The Forest,0.2358,0
2046,2000,The Gift,0.016,0
842715,2021,Ouija: Deadly Reunion,0.3912,0
297160,2017,XX,0.6937,1
608654,2019,The Banana Splits Movie,0.4144,0
98948,2012,Abraham Lincoln vs. Zombies,0.0692,0
27374,2009,Lake Mungo,0.032,0
9538,1981,Scanners,0.1258,0
16342,2008,The Children,0.1113,0
126277,2012,American Mary,0.0212,0
9423,1999,Virus,0.0519,0
722780,2021,For the Sake of Vicious,0.073,0
140174,2012,Rise of the Zombies,0.3373,0
362057,2016,Martyrs,0.2075,0
16205,2007,Jack Brooks: Monster Slayer,0.5097,1
16266,2008,2012 Doomsday,0.0347,0
8851,1958,The Blob,0.231,0
10092,2005,Cry_Wolf,0.2986,0
492621,2016,The Midnight Man,0.3982,0
448432,2018,The Convent,0.0075,0
480410,2017,The Sandman,0.1753,0
301846,2015,Howl,0.1063,0
557557,2018,Smile,0.0215,0
561859,2018,Alien Overlords,0.0989,0
459928,2017,12 Feet Deep,0.0283,0
13220,2008,Splinter,0.3959,0
293970,2015,The Final Girls,0.2997,0
13812,2008,Quarantine,0.0155,0
505423,2019,Wounds,0.0177,0
611605,2019,1BR,0.1693,0
381325,2016,The Exorcism of Anna Ecklund,0.1401,0
9890,2004,The Stepford Wives,0.3588,0
41771,1992,Tale of a Vampire,0.0039,0
429476,2018,Hell Fest,0.3275,0
243940,2015,The Lazarus Effect,0.0215,0
18983,1956,"Godzilla, King of the Monsters!",0.951,1
550412,2018,The Legend of Halloween Jack,0.195,0
73588,2011,The Caller,0.013,0
11591,1983,The Man with Two Brains,0.1346,0
46429,2012,Gallowwalkers,0.0774,0
17618,2009,Laid to Rest,0.1989,0
21935,2007,The Haunting Hour: Don't Think About It,0.4764,0
289416,2014,Grace,0.1128,0
782654,2018,Toy Box,0.0393,0
10706,2001,Mimic 2,0.1036,0
11494,2006,Wilderness,0.2365,0
29756,1960,13 Ghosts,0.1994,0
11510,1990,Repossessed,0.2178,0
353979,2016,Pet,0.2418,0
3036,1994,Mary Shelley's Frankenstein,0.267,0
118957,2012,Bait,0.3995,0
135309,2012,Lake Placid: The Final Chapter,0.5681,1
414191,2018,Our House,0.0866,0
503706,2019,The Haunting of Sharon Tate,0.3799,0
63207,2011,Intruders,0.0745,0
138544,2012,American Horror House,0.1151,0
12262,1977,The Hills Have Eyes,0.2256,0
15856,1959,House on Haunted Hill,0.8904,1
19058,2001,Down,0.4298,0
36086,2004,Boa vs. Python,0.2204,0
606625,2020,Follow Me,0.1115,0
44678,2010,Altitude,0.0692,0
369300,2016,The Limehouse Golem,0.1313,0
539181,2020,Relic,0.0153,0
1028955,2022,In Isolation,0.0333,0
1020890,2022,Enough Sleep,0.6551,1
507441,2020,Sea Fever,0.1242,0
14397,2007,Whisper,0.1151,0
11033,1980,Dressed to Kill,0.1384,0
10384,2000,Supernova,0.0385,0
416160,2017,The Vault,0.0446,0
10351,1997,Wishmaster,0.8569,1
24056,2009,The Tournament,0.0172,0
310135,2015,Turbo Kid,0.5309,1
461992,2018,Hostile,0.0261,0
539649,2018,The Lie,0.0061,0
728144,2020,The Special,0.2474,0
381237,2018,Office Uprising,0.0598,0
541560,2019,The Wind,0.0056,0
10785,1951,The Thing from Another World,0.1262,0
298584,2016,Cabin Fever,0.2285,0
157424,2014,Cabin Fever: Patient Zero,0.0837,0
901418,2022,Croc!,0.2805,0
601844,2020,Becky,0.0811,0
20701,1990,Tales from the Darkside: The Movie,0.8414,1
35977,1995,Pumpkinhead II: Blood Wings,0.8781,1
33005,2003,Mimic: Sentinel,0.1486,0
168705,2005,BloodRayne,0.0375,0
244458,2014,The Voices,0.1476,0
18015,2002,Shark Attack 3: Megalodon,0.2595,0
255295,2013,Speak No Evil,0.058,0
485774,2018,The Open House,0.0128,0
25750,1996,Children of the Corn IV: The Gathering,0.0402,0
46302,2007,Drive Thru,0.4973,0
10984,2001,Valentine,0.0316,0
16456,2005,The Crow: Wicked Prayer,0.1491,0
6217,1982,Cat People,0.0587,0
141733,2013,Cottage Country,0.2312,0
166271,2013,Haunter,0.2026,0
306964,2015,Tales of Halloween,0.3984,0
344854,2015,The Pack,0.6709,1
241927,2015,Hellions,0.1976,0
661950,2020,Alone,0.0109,0
409297,2016,A Dark Song,0.0367,0
50497,2012,When the Lights Went Out,0.0419,0
363844,2015,The Ouija Exorcism,0.2014,0
23761,1976,"Alice, Sweet Alice",0.1041,0
24925,1994,Night of the Demons 2,0.0842,0
79694,2012,The Apparition,0.0517,0
15356,2007,The Girl Next Door,0.0416,0
13555,1981,The Funhouse,0.2107,0
13803,2008,Amusement,0.0855,0
634336,2019,Uncanny Annie,0.1997,0
209901,2013,Nothing Left to Fear,0.1878,0
377587,2016,Meet the Blacks,0.0474,0
449664,2017,Escape Room,0.1201,0
631583,2021,Sacrifice,0.0606,0
347757,2016,Worry Dolls,0.82,1
617786,2020,The Other Lamb,0.0161,0
347847,2015,The Sand,0.0501,0
6552,1999,Idle Hands,0.0848,0
